player_name,team_name,position_name,total_points,now_cost,unavailable,minutes,player_id,roi
Rúben Santos Gato Alves Dias,Man City,DEF,142,62,False,2401,262,2.2903225806451615
Joël Veltman,Brighton,DEF,96,42,False,2874,62,2.2857142857142856
Nélson Cabral Semedo,Wolves,DEF,109,48,False,2131,437,2.2708333333333335
Ben White,Arsenal,DEF,104,46,False,2880,67,2.260869565217391
Conor Coady,Wolves,DEF,106,47,False,3361,429,2.25531914893617
Robert Sánchez,Brighton,GKP,101,45,False,3330,69,2.2444444444444445
Ollie Watkins,Aston Villa,FWD,168,75,False,2950,40,2.24
Leandro Trossard,Brighton,MID,132,59,False,2803,64,2.23728813559322
Pierre-Emile Højbjerg,Spurs,MID,107,48,False,3196,365,2.2291666666666665
James Tarkowski,Burnley,DEF,109,49,False,3106,98,2.2244897959183674
Ben Mee,Burnley,DEF,102,46,False,1839,106,2.217391304347826
Ilkay Gündogan,Man City,MID,157,71,False,1851,250,2.211267605633803
Andrew Robertson,Liverpool,DEF,161,73,False,2537,234,2.2054794520547945
Chris Wood,Newcastle,FWD,138,63,False,2694,109,2.1904761904761907
Alex McCarthy,Southampton,GKP,94,43,False,1530,334,2.186046511627907
Ashley Westwood,Burnley,MID,112,52,False,2286,107,2.1538461538461537
Dominic Calvert-Lewin,Everton,FWD,165,77,False,1281,177,2.142857142857143
Jan Bednarek,Southampton,DEF,94,44,False,2629,343,2.1363636363636362
Ben Godfrey,Everton,DEF,100,47,False,2029,179,2.127659574468085
Victor Lindelöf,Man Utd,DEF,102,48,False,2353,284,2.125
Eberechi Eze,Crystal Palace,MID,125,59,False,599,160,2.1186440677966103
Pablo Fornals,West Ham,MID,125,59,False,2795,423,2.1186440677966103
Raphael Dias Belloli,Leeds,MID,133,63,False,2916,196,2.111111111111111
Che Adams,Southampton,FWD,137,65,False,2034,345,2.1076923076923078
Bruno Miguel Borges Fernandes,Man Utd,MID,244,116,False,3110,277,2.103448275862069
Youri Tielemans,Leicester,MID,133,64,False,2629,210,2.078125
Pascal Groß,Brighton,MID,116,56,False,2033,55,2.0714285714285716
Romain Saïss,Wolves,DEF,99,48,False,2706,431,2.0625
James Justin,Leicester,DEF,101,49,False,996,218,2.061224489795918
Dwight McNeil,Burnley,MID,113,55,False,3104,118,2.0545454545454547
Jarrod Bowen,West Ham,MID,141,69,False,2987,420,2.0434782608695654
Angelo Ogbonna,West Ham,DEF,100,49,False,921,409,2.0408163265306123
Heung-Min Son,Spurs,MID,228,112,False,3009,359,2.0357142857142856
John McGinn,Aston Villa,MID,114,56,False,3090,35,2.0357142857142856
Jonny Evans,Leicester,DEF,109,54,False,1346,201,2.0185185185185186
César Azpilicueta,Chelsea,DEF,113,56,False,2067,119,2.017857142857143
Rúben Diogo da Silva Neves,Wolves,MID,104,52,False,2659,436,2.0
Jorge Luiz Frello Filho,Chelsea,MID,114,57,False,2271,123,2.0
Pedro Lomba Neto,Wolves,MID,124,62,False,459,441,2.0
Kurt Zouma,West Ham,DEF,108,54,False,2078,128,2.0
Stuart Armstrong,Southampton,MID,115,58,False,1465,339,1.9827586206896552
Anwar El Ghazi,Everton,MID,111,56,False,392,42,1.9821428571428572
Joachim Andersen,Crystal Palace,DEF,93,47,False,2914,488,1.9787234042553192
Adam Webster,Brighton,DEF,85,43,False,1429,61,1.9767441860465116
Wilfried Zaha,Crystal Palace,MID,136,69,False,2759,154,1.9710144927536233
Kieran Tierney,Arsenal,DEF,96,49,False,1916,16,1.9591836734693877
Héctor Bellerín,Arsenal,DEF,94,48,False,0,9,1.9583333333333333
Mateusz Klich,Leeds,MID,99,51,False,2071,186,1.9411764705882353
Miguel Almirón,Newcastle,MID,97,50,False,1706,308,1.94
Harvey Barnes,Leicester,MID,126,65,False,2095,215,1.9384615384615385
Kyle Walker-Peters,Southampton,DEF,93,48,False,2630,342,1.9375
Harry Kane,Spurs,FWD,242,125,False,3231,357,1.936
James Maddison,Leicester,MID,133,69,False,2454,212,1.9275362318840579
João Pedro Cavaco Cancelo,Man City,DEF,138,72,False,3227,256,1.9166666666666667
Mason Mount,Chelsea,MID,147,77,False,2358,138,1.9090909090909092
Mason Holgate,Everton,DEF,80,42,False,2133,178,1.9047619047619047
Trent Alexander-Arnold,Liverpool,DEF,160,84,False,2853,237,1.9047619047619047
Callum Wilson,Newcastle,FWD,134,71,False,1386,296,1.8873239436619718
Charlie Taylor,Burnley,DEF,83,44,False,2730,113,1.8863636363636365
Marcus Rashford,Man Utd,MID,174,94,False,1224,281,1.851063829787234
Jannik Vestergaard,Leicester,DEF,86,47,False,563,340,1.8297872340425532
Cheikhou Kouyaté,Crystal Palace,DEF,82,45,False,1970,150,1.8222222222222222
Gylfi Sigurdsson,Everton,MID,122,67,False,0,164,1.8208955223880596
David de Gea,Man Utd,GKP,91,50,False,3420,270,1.82
Jamie Vardy,Leicester,FWD,187,103,False,1801,205,1.8155339805825244
Ademola Lookman,Leicester,MID,107,59,False,1446,587,1.8135593220338984
Andros Townsend,Everton,MID,94,52,False,1452,482,1.8076923076923077
Jack Grealish,Man City,MID,135,75,False,1910,33,1.8
Christian Benteke,Crystal Palace,FWD,106,59,False,1132,149,1.7966101694915255
Sergio Reguilón,Spurs,DEF,89,50,False,1914,370,1.78
Karl Darlow,Newcastle,GKP,80,45,False,720,294,1.7777777777777777
Timothy Castagne,Leicester,DEF,94,53,False,2124,209,1.7735849056603774
Mohamed Salah,Liverpool,MID,231,131,False,2758,233,1.7633587786259541
Toby Alderweireld,Spurs,DEF,88,50,False,0,355,1.76
Yves Bissouma,Brighton,MID,77,44,False,2110,70,1.75
Tanguy Ndombele,Spurs,MID,99,57,False,481,375,1.736842105263158
Reece James,Chelsea,DEF,112,65,False,1863,142,1.7230769230769232
Josh Brownhill,Burnley,MID,74,43,False,2952,115,1.7209302325581395
Declan Rice,West Ham,MID,86,50,False,3178,421,1.72
Phil Foden,Man City,MID,135,79,False,2125,265,1.7088607594936709
Bukayo Saka,Arsenal,MID,114,67,False,2978,22,1.7014925373134329
Danny Ings,Aston Villa,FWD,131,77,False,1891,337,1.7012987012987013
Ryan Bertrand,Leicester,DEF,78,46,False,337,473,1.6956521739130435
Neal Maupay,Brighton,FWD,105,62,False,2269,63,1.6935483870967742
Riyad Mahrez,Man City,MID,145,86,False,1485,254,1.686046511627907
Kyle Walker,Man City,DEF,91,54,False,1755,249,1.6851851851851851
Scott McTominay,Man Utd,MID,91,54,False,2386,285,1.6851851851851851
Matthew Cash,Aston Villa,DEF,89,53,False,3377,44,1.679245283018868
Adama Traoré,Wolves,MID,94,56,False,1069,435,1.6785714285714286
Douglas Luiz Soares de Paulo,Aston Villa,MID,72,43,False,2715,50,1.6744186046511629
Leander Dendoncker,Wolves,MID,77,46,False,1945,434,1.673913043478261
Rodrigo Hernandez,Man City,MID,91,55,False,2884,266,1.6545454545454545
Seamus Coleman,Everton,DEF,81,49,False,2656,165,1.653061224489796
Nicolas Pépé,Arsenal,MID,114,69,False,681,17,1.6521739130434783
Wesley Fofana,Leicester,DEF,71,43,False,630,220,1.6511627906976745
Pascal Struijk,Leeds,DEF,71,43,False,2050,198,1.6511627906976745
Wilfred Ndidi,Leicester,MID,79,48,False,1617,216,1.6458333333333333
Thiago Emiliano da Silva,Chelsea,DEF,92,56,False,2649,121,1.6428571428571428
Eric Dier,Spurs,DEF,77,47,False,3071,361,1.6382978723404256
Serge Aurier,Spurs,DEF,80,49,False,0,358,1.6326530612244898
Roberto Firmino,Liverpool,FWD,141,87,False,980,228,1.6206896551724137
Nathaniel Phillips,Liverpool,DEF,68,42,False,0,241,1.619047619047619
Richarlison de Andrade,Everton,FWD,123,76,False,2522,180,1.618421052631579
Michail Antonio,West Ham,FWD,118,73,False,2975,413,1.6164383561643836
Yerry Mina,Everton,DEF,79,49,False,844,175,1.6122448979591837
Alexandre Lacazette,Arsenal,FWD,129,81,False,1773,6,1.5925925925925926
Jesse Lingard,Man Utd,MID,106,67,False,354,276,1.5820895522388059
Kelechi Iheanacho,Leicester,FWD,110,70,False,1253,213,1.5714285714285714
Craig Dawson,West Ham,DEF,75,49,False,2752,414,1.530612244897959
Antonio Rüdiger,Chelsea,DEF,93,61,False,3035,127,1.5245901639344261
Abdoulaye Doucouré,Everton,MID,80,53,False,2536,173,1.509433962264151
Timo Werner,Chelsea,FWD,128,85,False,1278,134,1.5058823529411764
Marc Albrighton,Leicester,MID,78,52,False,1127,202,1.5
Jacob Murphy,Newcastle,MID,69,46,False,1457,304,1.5
Mason Greenwood,Man Utd,MID,106,71,False,1269,289,1.4929577464788732
Sadio Mané,Liverpool,MID,176,118,False,2818,230,1.4915254237288136
Joseph Willock,Newcastle,MID,79,53,False,2037,19,1.490566037735849
João Filipe Iria Santos Moutinho,Wolves,MID,73,49,False,2970,426,1.489795918367347
Danny Welbeck,Brighton,FWD,89,60,False,1469,447,1.4833333333333334
Gabriel Magalhães,Arsenal,DEF,78,53,False,3063,23,1.471698113207547
Joel Ward,Crystal Palace,DEF,66,45,False,2486,474,1.4666666666666666
Raheem Sterling,Man City,MID,154,105,False,2121,255,1.4666666666666666
James Rodríguez,Everton,MID,101,69,False,0,166,1.463768115942029
Ross Barkley,Chelsea,MID,76,52,False,174,124,1.4615384615384615
Granit Xhaka,Arsenal,MID,70,48,False,2327,7,1.4583333333333333
Dan Burn,Newcastle,DEF,64,44,False,2461,58,1.4545454545454546
Kalvin Phillips,Leeds,MID,67,47,False,1594,191,1.425531914893617
Ferran Torres,Man City,MID,95,67,False,303,268,1.4179104477611941
Rodrigo Moreno,Leeds,FWD,89,63,False,2263,187,1.4126984126984128
Frederico Rodrigues de Paula Santos,Man Utd,MID,69,49,False,2026,274,1.4081632653061225
Jonjo Shelvey,Newcastle,MID,74,53,False,1981,291,1.3962264150943395
Willy Boly,Wolves,DEF,68,49,False,900,428,1.3877551020408163
Fernando Luiz Rosa,Man City,MID,65,47,False,956,453,1.3829787234042554
Pierre-Emerick Aubameyang,Arsenal,FWD,131,96,False,1036,4,1.3645833333333333
Daniel Castelo Podence,Wolves,MID,75,55,False,1475,438,1.3636363636363635
Jairo Riedewald,Crystal Palace,MID,64,47,False,116,157,1.3617021276595744
Lucas Rodrigues Moura da Silva,Spurs,MID,80,59,False,1763,362,1.3559322033898304
Bernardo Mota Veiga de Carvalho e Silva,Man City,MID,94,70,False,2856,261,1.3428571428571427
Liam Cooper,Leeds,DEF,59,44,False,1814,184,1.3409090909090908
Gabriel Fernando de Jesus,Man City,FWD,115,86,False,1871,263,1.3372093023255813
Andreas Christensen,Chelsea,DEF,61,46,False,1494,133,1.326086956521739
Rayan Ait Nouri,Wolves,DEF,54,41,False,1826,470,1.3170731707317074
Fabio Henrique Tavares,Liverpool,MID,71,54,False,2311,232,1.3148148148148149
Theo Walcott,Southampton,MID,76,58,False,376,332,1.3103448275862069
Ainsley Maitland-Niles,Arsenal,MID,68,52,False,263,13,1.3076923076923077
Oleksandr Zinchenko,Man City,DEF,69,53,False,1044,264,1.3018867924528301
Solomon March,Brighton,MID,69,53,False,1733,60,1.3018867924528301
Emile Smith Rowe,Arsenal,MID,74,57,False,1909,21,1.2982456140350878
Tyrick Mitchell,Crystal Palace,DEF,58,45,False,3101,162,1.288888888888889
Max Kilman,Wolves,DEF,58,45,False,2688,439,1.288888888888889
Fabio Silva,Wolves,FWD,72,56,False,562,445,1.2857142857142858
Allan Saint-Maximin,Newcastle,FWD,85,67,False,2804,307,1.2686567164179106
N'Golo Kanté,Chelsea,MID,62,49,False,1769,130,1.2653061224489797
Joelinton Cássio Apolinário de Lira,Newcastle,FWD,74,59,False,2554,310,1.2542372881355932
Paul Pogba,Man Utd,MID,92,74,False,1347,272,1.2432432432432432
Willian Borges Da Silva,Arsenal,MID,78,63,False,0,3,1.2380952380952381
Saïd Benrahma,West Ham,MID,73,59,False,2162,419,1.2372881355932204
Federico Fernández,Newcastle,DEF,53,43,False,521,465,1.2325581395348837
Ruben Loftus-Cheek,Chelsea,MID,66,54,False,1384,132,1.2222222222222223
Erik Pieters,Burnley,DEF,50,41,False,726,100,1.2195121951219512
Benjamin Mendy,Man City,DEF,63,52,False,78,253,1.2115384615384615
Luka Milivojevic,Crystal Palace,MID,63,52,False,767,152,1.2115384615384615
Jordan Ayew,Crystal Palace,FWD,70,58,False,2012,153,1.206896551724138
Çaglar Söyüncü,Leicester,DEF,59,49,False,2497,217,1.2040816326530612
Jeffrey Schlupp,Crystal Palace,MID,65,54,False,1840,155,1.2037037037037037
Matej Vydra,Burnley,FWD,62,52,False,665,111,1.1923076923076923
Conor Gallagher,Crystal Palace,MID,71,60,False,2843,144,1.1833333333333333
Edinson Cavani,Man Utd,FWD,99,84,False,760,269,1.1785714285714286
Hélder Wander Sousa de Azevedo e Costa,Leeds,MID,63,54,False,21,192,1.1666666666666667
Kevin De Bruyne,Man City,MID,141,121,False,2196,251,1.165289256198347
Oriol Romeu Vidal,Southampton,MID,52,45,False,2890,335,1.1555555555555554
Ben Davies,Spurs,DEF,52,45,False,2537,364,1.1555555555555554
Kai Havertz,Chelsea,MID,91,79,False,1802,141,1.1518987341772151
Jordan Henderson,Liverpool,MID,56,49,False,2592,222,1.1428571428571428
Mohamed Naser El Sayed Elneny,Arsenal,MID,50,44,False,801,12,1.1363636363636365
Nathan Redmond,Southampton,MID,67,59,False,1827,336,1.1355932203389831
Alex Iwobi,Everton,MID,65,58,False,2029,174,1.1206896551724137
Callum Hudson-Odoi,Chelsea,MID,59,53,False,958,140,1.1132075471698113
Diego Llorente,Leeds,DEF,50,45,False,2341,190,1.1111111111111112
Mateo Kovacic,Chelsea,MID,54,49,False,1552,125,1.1020408163265305
Adam Lallana,Brighton,MID,58,53,False,1559,53,1.0943396226415094
Allan Marques Loureiro,Everton,MID,47,43,False,2181,171,1.0930232558139534
Martin Dubravka,Newcastle,GKP,48,44,False,2340,295,1.0909090909090908
Jeff Hendrick,Newcastle,MID,52,48,False,69,297,1.0833333333333333
Tammy Abraham,Chelsea,FWD,69,65,False,0,136,1.0615384615384615
Matt Ritchie,Newcastle,DEF,52,49,False,1333,292,1.0612244897959184
Jay Rodriguez,Burnley,FWD,54,51,False,1365,104,1.0588235294117647
Jamal Lewis,Newcastle,DEF,44,42,False,261,311,1.0476190476190477
James McArthur,Crystal Palace,MID,45,43,False,1434,148,1.0465116279069768
Emil Krafth,Newcastle,DEF,45,43,False,1636,303,1.0465116279069768
Ciaran Clark,Newcastle,DEF,46,44,False,1012,293,1.0454545454545454
Matt Doherty,Spurs,DEF,47,45,False,871,360,1.0444444444444445
Christian Pulisic,Chelsea,MID,82,79,False,1282,137,1.0379746835443038
Thiago Alcántara do Nascimento,Liverpool,MID,55,53,False,1527,225,1.0377358490566038
Mahmoud Ahmed Ibrahim Hassan,Aston Villa,MID,56,54,False,10,37,1.037037037037037
Diogo Jota,Liverpool,MID,86,83,False,2357,240,1.036144578313253
Davinson Sánchez,Spurs,DEF,43,42,False,1626,367,1.0238095238095237
Moussa Sissoko,Watford,MID,44,43,False,3220,354,1.0232558139534884
Tyler Roberts,Leeds,MID,49,48,False,976,193,1.0208333333333333
Ayoze Pérez,Leicester,MID,58,57,False,438,211,1.0175438596491229
Curtis Jones,Liverpool,MID,50,50,False,849,244,1.0
Issa Diop,West Ham,DEF,42,42,False,961,424,1.0
Marcos Alonso,Chelsea,DEF,57,57,False,2164,122,1.0
Ashley Barnes,Burnley,FWD,52,52,False,793,105,1.0
Jamaal Lascelles,Newcastle,DEF,44,44,False,2055,299,1.0
Anthony Martial,Man Utd,FWD,75,76,False,207,278,0.9868421052631579
André Filipe Tavares Gomes,Everton,MID,48,49,False,614,172,0.9795918367346939
Tom Davies,Everton,MID,47,48,False,230,176,0.9791666666666666
Ethan Ampadu,Chelsea,DEF,44,45,False,0,139,0.9777777777777777
Aymeric Laporte,Man City,DEF,58,60,False,2830,259,0.9666666666666667
Hakim Ziyech,Chelsea,MID,70,73,False,1311,131,0.958904109589041
Arthur Masuaku,West Ham,DEF,42,44,False,645,417,0.9545454545454546
Nampalys Mendy,Leicester,MID,41,43,False,1032,203,0.9534883720930233
Sean Longstaff,Newcastle,MID,41,43,False,1458,309,0.9534883720930233
Alexis Mac Allister,Brighton,MID,48,51,False,2112,74,0.9411764705882353
Takumi Minamino,Liverpool,MID,48,51,False,178,236,0.9411764705882353
Thomas Partey,Arsenal,MID,47,50,False,2027,15,0.94
Dean Henderson,Man Utd,GKP,44,47,False,0,280,0.9361702127659575
Steven Bergwijn,Spurs,MID,55,59,False,548,369,0.9322033898305084
Jack Stephens,Southampton,DEF,41,44,False,810,338,0.9318181818181818
Johann Berg Gudmundsson,Burnley,MID,50,54,False,1097,108,0.9259259259259259
James Milner,Liverpool,MID,44,49,False,844,221,0.8979591836734694
Paul Dummett,Newcastle,DEF,40,45,False,197,301,0.8888888888888888
Isaac Hayden,Newcastle,MID,40,45,False,1000,306,0.8888888888888888
Moussa Djenepo,Southampton,MID,46,52,False,452,350,0.8846153846153846
Robin Koch,Leeds,DEF,38,43,False,1572,194,0.8837209302325582
Calum Chambers,Aston Villa,DEF,36,42,False,999,10,0.8571428571428571
Nemanja Matic,Man Utd,MID,36,43,False,1375,271,0.8372093023255814
Mathew Ryan,Brighton,GKP,37,45,False,0,65,0.8222222222222222
Pablo Marí,Arsenal,DEF,34,42,False,180,8,0.8095238095238095
Joel Matip,Liverpool,DEF,42,53,False,2790,224,0.7924528301886793
Tariq Lamptey,Brighton,DEF,35,45,False,1547,71,0.7777777777777778
Nathan Tella,Southampton,MID,36,47,False,802,346,0.7659574468085106
Ryan Fraser,Newcastle,MID,39,51,False,1459,298,0.7647058823529411
Dennis Praet,Leicester,MID,37,49,False,0,206,0.7551020408163265
Jack Cork,Burnley,MID,33,44,False,1670,101,0.75
Michy Batshuayi,Chelsea,FWD,41,55,False,0,126,0.7454545454545455
Fabian Schär,Newcastle,DEF,30,41,False,2158,305,0.7317073170731707
Steven Alzate,Brighton,MID,35,48,False,401,73,0.7291666666666666
Kortney Hause,Aston Villa,DEF,32,44,False,397,36,0.7272727272727273
Olivier Giroud,Chelsea,FWD,47,65,False,0,120,0.7230769230769231
Javier Manquillo,Newcastle,DEF,28,39,False,1258,302,0.717948717948718
Aaron Connolly,Brighton,FWD,38,53,False,154,72,0.7169811320754716
Daniel James,Leeds,MID,43,60,False,2489,287,0.7166666666666667
Martin Ødegaard,Arsenal,MID,40,56,False,2782,558,0.7142857142857143
Ibrahima Diallo,Southampton,MID,31,45,False,1016,349,0.6888888888888889
Fraser Forster,Southampton,GKP,30,44,False,1710,333,0.6818181818181818
Juan Mata,Man Utd,MID,32,47,False,230,459,0.6808510638297872
Gabriel Teodoro Martinelli Silva,Arsenal,MID,36,53,False,1855,26,0.6792452830188679
Cédric Soares,Arsenal,DEF,28,42,False,1481,5,0.6666666666666666
Nathaniel Clyne,Crystal Palace,DEF,28,43,False,1351,493,0.6511627906976745
Joe Rodon,Spurs,DEF,27,42,False,87,374,0.6428571428571429
Ben Johnson,West Ham,DEF,25,39,False,1397,425,0.6410256410256411
Rhys Williams,Liverpool,DEF,28,44,False,0,247,0.6363636363636364
Ryan Fredericks,West Ham,DEF,28,44,False,303,415,0.6363636363636364
Eric Bailly,Man Utd,DEF,31,49,False,216,286,0.6326530612244898
Edward Nketiah,Arsenal,FWD,36,57,False,823,20,0.631578947368421
Mark Noble,West Ham,MID,27,43,False,325,406,0.627906976744186
Robin Olsen,Aston Villa,GKP,25,40,False,90,691,0.625
Nathan Aké,Man City,DEF,29,47,False,919,258,0.6170212765957447
Marvelous Nakamba,Aston Villa,MID,27,44,False,899,41,0.6136363636363636
Luke Thomas,Leicester,DEF,26,43,False,1911,219,0.6046511627906976
Ozan Kabak,Norwich,DEF,26,43,False,923,580,0.6046511627906976
Dwight Gayle,Newcastle,FWD,31,52,False,34,300,0.5961538461538461
Jacob Ramsey,Aston Villa,MID,28,47,False,2465,51,0.5957446808510638
Giovani Lo Celso,Spurs,MID,35,59,False,231,372,0.5932203389830508
Kepa Arrizabalaga,Chelsea,GKP,26,45,False,360,129,0.5777777777777777
Raúl Jiménez,Wolves,FWD,43,75,False,2630,430,0.5733333333333334
Donny van de Beek,Everton,MID,32,57,False,550,282,0.5614035087719298
Ricardo Domingos Barbosa Pereira,Leicester,DEF,27,52,False,990,207,0.5192307692307693
Keinan Davis,Aston Villa,FWD,23,45,False,11,49,0.5111111111111111
Alex Nicolao Telles,Man Utd,DEF,25,49,False,1658,279,0.5102040816326531
Pablo Hernández Domínguez,Leeds,MID,28,55,False,0,182,0.509090909090909
Manuel Lanzini,West Ham,MID,28,56,False,1777,416,0.5
Morgan Gibbs-White,Wolves,MID,22,45,False,7,440,0.4888888888888889
Bamidele Alli,Everton,MID,30,62,False,985,363,0.4838709677419355
Daniel Amartey,Leicester,DEF,19,40,False,2118,208,0.475
Jakub Moder,Brighton,MID,21,45,False,1694,75,0.4666666666666667
Erik Lamela,Spurs,MID,28,60,False,0,356,0.4666666666666667
Fernando Marçal,Wolves,DEF,19,42,False,1448,432,0.4523809523809524
Xherdan Shaqiri,Liverpool,MID,26,59,False,0,226,0.4406779661016949
Alireza Jahanbakhsh,Brighton,MID,24,55,False,0,66,0.43636363636363634
Harry Winks,Spurs,MID,19,44,False,904,366,0.4318181818181818
James Tomkins,Crystal Palace,DEF,18,43,False,545,147,0.4186046511627907
Conor Hourihane,Aston Villa,MID,20,49,False,0,29,0.40816326530612246
Jamie Shackleton,Leeds,MID,17,44,False,704,197,0.38636363636363635
Bernard Anício Caldeira Duarte,Everton,MID,21,55,False,0,167,0.38181818181818183
Alex Oxlade-Chamberlain,Liverpool,MID,21,58,False,777,227,0.3620689655172414
Jonathan Castro Otto,Wolves,DEF,16,45,False,1022,433,0.35555555555555557
Kevin Long,Burnley,DEF,14,40,False,408,103,0.35
Andriy Yarmolenko,West Ham,MID,17,50,False,303,412,0.34
Japhet Tanganga,Spurs,DEF,14,42,False,735,371,0.3333333333333333
Ki-Jana Hoever,Wolves,DEF,13,39,False,306,443,0.3333333333333333
Hamza Choudhury,Leicester,MID,14,44,False,284,214,0.3181818181818182
Ian Carlo Poveda-Ocampo,Leeds,MID,14,45,False,0,195,0.3111111111111111
Mohammed Salisu,Southampton,DEF,14,45,False,2971,351,0.3111111111111111
Francisco Casilla Cortés,Leeds,GKP,14,45,False,0,183,0.3111111111111111
Naby Keita,Liverpool,MID,15,50,False,1169,239,0.3
Neco Williams,Liverpool,DEF,11,38,False,7,246,0.2894736842105263
Daniel N'Lundulu,Southampton,FWD,13,45,False,0,344,0.28888888888888886
Jean-Philippe Mateta,Crystal Palace,FWD,15,53,False,1138,159,0.2830188679245283
Adrián San Miguel del Castillo,Liverpool,GKP,11,43,False,0,223,0.2558139534883721
Darren Randolph,West Ham,GKP,10,43,False,0,407,0.23255813953488372
Caoimhin Kelleher,Liverpool,GKP,10,43,False,180,242,0.23255813953488372
Anthony Elanga,Man Utd,MID,11,48,False,1208,512,0.22916666666666666
Matthew Longstaff,Newcastle,MID,10,45,False,0,312,0.2222222222222222
Shane Long,Southampton,FWD,12,54,False,300,519,0.2222222222222222
Josh Benson,Burnley,MID,10,45,False,0,116,0.2222222222222222
Virgil van Dijk,Liverpool,DEF,15,68,False,3060,229,0.22058823529411764
Joseph Gomez,Liverpool,DEF,10,47,False,330,238,0.2127659574468085
Divock Origi,Liverpool,FWD,10,48,False,126,235,0.20833333333333334
Morgan Sanson,Aston Villa,MID,10,50,False,349,34,0.2
Andi Zeqiri,Brighton,FWD,9,45,False,0,535,0.2
Owen Otasowie,Wolves,MID,9,45,False,0,442,0.2
Davy Pröpper,Brighton,MID,9,45,False,0,57,0.2
Joshua King,Watford,FWD,11,56,False,2244,468,0.19642857142857142
Fabian Delph,Everton,MID,8,42,False,660,163,0.19047619047619047
Billy Gilmour,Norwich,MID,8,43,False,1852,145,0.18604651162790697
Dale Stephens,Burnley,MID,8,44,False,123,102,0.18181818181818182
Scott Carson,Man City,GKP,7,39,False,0,593,0.1794871794871795
Amad Diallo,Man Utd,MID,8,50,False,0,636,0.16
Axel Tuanzebe,Man Utd,DEF,7,44,False,505,283,0.1590909090909091
Emerson Palmieri dos Santos,Chelsea,DEF,7,45,False,4,539,0.15555555555555556
Brandon Williams,Norwich,DEF,5,39,False,2119,290,0.1282051282051282
Bernardo Fernandes Da Silva Junior,Brighton,DEF,5,40,False,0,68,0.125
Jonjoe Kenny,Everton,DEF,5,43,False,1015,502,0.11627906976744186
William Smallbone,Southampton,MID,5,45,False,132,347,0.1111111111111111
John Ruddy,Wolves,GKP,4,43,False,135,452,0.09302325581395349
Michael Obafemi,Southampton,FWD,4,45,False,0,348,0.08888888888888889
Cenk Tosun,Everton,FWD,4,50,False,5,622,0.08
Yan Valery,Southampton,DEF,3,39,False,369,546,0.07692307692307693
Will Norris,Burnley,GKP,3,43,False,0,114,0.06976744186046512
